                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4086,                 7.0621,                 1.2201,                0.89571,                0.85908,                0.90881,                0.57491,                 1.0238,                 2.0179,                  1.004,                 0.0865,                 0.0015,                 0.0015
                      1,                 1.2941,                 1.1155,                 1.0565,                0.99589,                      1,                  0.995,                0.65572,                 1.0436,                0.76447,                0.96908,               0.071895,              0.0028954,              0.0028954
                      2,                 1.2272,                 1.0057,                  1.033,                0.97865,                0.93333,                0.99034,                0.70881,                0.96997,                0.66788,                0.90656,                0.05708,              0.0040796,              0.0040796
                      3,                 1.2144,                0.85437,                0.99968,                0.99606,                      1,                  0.995,                0.71763,                0.96227,                0.65259,                0.93604,               0.042053,              0.0050526,              0.0050526
                      4,                 1.2339,                0.83764,                 1.0245,                0.99713,                      1,                  0.995,                0.70146,                0.94913,                0.80568,                0.92849,               0.026814,              0.0058144,              0.0058144
                      5,                 1.1276,                0.74885,                 1.0046,                0.99622,                      1,                  0.995,                0.69991,                 1.0262,                0.60613,                0.92898,               0.011365,               0.006365,               0.006365
                      6,                 1.1724,                0.77391,                  1.031,                0.92849,                      1,                0.98576,                0.66517,                 1.0795,                0.71853,                0.98385,                0.00604,                0.00604,                0.00604
                      7,                 1.2116,                0.76998,                 1.0714,                0.92836,                      1,                0.96836,                0.61245,                 1.1752,                  0.969,                 1.0048,                0.00604,                0.00604,                0.00604
                      8,                 1.1342,                0.69309,                  1.032,                0.96717,                      1,                  0.995,                0.70614,                 1.0117,                0.77857,                0.97687,                0.00538,                0.00538,                0.00538
                      9,                 1.0991,                0.70248,                 1.0238,                0.98495,                      1,                  0.995,                0.69308,                0.97867,                 0.7434,                 0.9535,                0.00472,                0.00472,                0.00472
                     10,                 1.0835,                 0.6858,                 1.0343,                 0.9949,                      1,                  0.995,                0.70137,                  1.014,                0.66348,                0.95661,                0.00406,                0.00406,                0.00406
                     11,                 1.0414,                0.60134,                 1.0131,                0.99657,                      1,                  0.995,                0.73598,                0.93064,                0.61066,                0.94615,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.0187,                0.58181,                0.98973,                0.99761,                      1,                  0.995,                0.75266,                0.94272,                0.53746,                0.94917,                0.00274,                0.00274,                0.00274
                     13,                0.98918,                0.54871,                 0.9864,                0.99716,                      1,                  0.995,                 0.7413,                0.93304,                0.55509,                0.94851,                0.00208,                0.00208,                0.00208
                     14,                 1.0052,                0.54723,                0.98575,                0.99718,                      1,                  0.995,                0.76669,                0.94689,                0.53902,                 0.9424,                0.00142,                0.00142,                0.00142
